Recency,Frequency,Monetary,Cluster
10,4,1797.78,0
9,8,3384.09,0
3,39,9803.96,3
18,4,870.09,0
9,4,869.46,0
14,2,250.26000000000002,0
58,7,1205.9,0
29,11,5820.16,0
93,1,353.48,0
9,3,1197.42,0
8,4,780.58,0
56,6,1518.43,0
267,1,333.74,0
121,5,133.62,0
126,1,62.63999999999999,0
77,4,819.2900000000001,0
239,2,847.41,0
199,2,163.20000000000002,0
59,3,2150.85,0
2,8,6083.04,0
272,1,108.21000000000001,0
201,1,257.7,0
80,1,358.0,0
225,1,160.95,0
3,15,2763.41,0
12,7,1357.6,0
73,2,605.12,0
211,2,101.17000000000007,0
23,3,727.27,0
10,5,680.83,0
261,1,329.56,0
95,4,663.65,0
111,3,270.40000000000003,0
202,1,600.07,0
92,1,121.74000000000001,0
50,1,430.5,0
17,7,1922.1,0
17,4,501.12,0
124,2,465.68,0
91,3,711.41,0
156,2,1030.4,0
3,3,390.66,0
13,1,0.0,0
11,3,698.58,0
61,1,292.32,0
60,1,557.62,0
268,2,944.1,0
262,1,200.29,0
0,35,7454.07,0
52,5,2107.66,0
10,19,3717.67,0
2,27,4404.44,0
17,15,3167.64,0
0,17,5315.92,0
365,1,590.0,0
36,2,178.26,0
30,2,276.56,0
112,1,138.98,0
63,2,590.9300000000001,0
15,4,258.4,0
40,1,542.73,0
63,2,126.30000000000001,0
121,3,814.86,0
17,6,1047.8400000000001,0
59,2,93.66,0
322,2,196.15,0
22,4,2709.12,0
155,1,361.11,0
38,2,578.9399999999999,0
189,2,873.74,0
359,2,197.95000000000002,0
136,1,87.4,0
7,4,2089.85,0
0,1,360.0,0
267,1,142.5,0
164,2,365.29,0
103,4,618.09,0
154,1,63.75,0
350,1,300.42,0
3,10,2000.86,0
119,1,15.0,0
22,4,1367.6100000000001,0
6,5,1456.79,0
8,6,1083.63,0
3,2,598.57,0
21,5,1555.32,0
1,4,578.66,0
36,5,5815.49,0
63,9,2140.07,0
0,3,640.76,0
4,36,10664.34,3
69,6,1491.7,0
71,2,567.36,0
16,1,199.48000000000002,0
2,5,787.85,0
31,12,7072.8,0
81,1,675.3,0
38,9,3617.57,0
315,1,1308.48,0
31,4,740.4,0
92,3,1140.93,0
13,1,350.9,0
81,3,3536.82,0
76,1,795.12,0
153,3,431.82,0
200,1,860.12,0
44,7,10736.48,3
260,1,775.85,0
172,2,303.93,0
67,3,2543.72,0
276,2,377.6,0
69,1,341.36,0
63,1,233.76,0
10,1,247.32,0
15,3,910.72,0
65,1,373.94,0
7,2,389.28,0
70,1,743.53,0
121,1,674.7,0
79,1,768.24,0
256,1,609.95,0
268,1,439.03,0
58,2,431.26,0
2,5,3085.4900000000002,0
17,2,992.5,0
66,2,0.0,0
8,3,2191.22,0
49,1,56.160000000000004,0
256,2,623.4,0
353,2,263.75,0
365,2,721.32,0
89,1,378.64,0
60,3,3312.25,0
80,2,772.9,0
98,3,1019.76,0
25,3,572.56,0
20,7,3626.81,0
280,1,222.99,0
30,9,4122.28,0
329,1,534.57,0
120,3,627.15,0
10,3,797.96,0
74,1,544.08,0
203,1,59.8,0
1,10,2312.8,0
184,1,307.72,0
21,4,1325.29,0
72,6,1539.18,0
191,1,457.34,0
126,2,621.23,0
17,1,75.0,0
0,2,252.49,0
73,3,572.451,0
1,81,27487.41,3
8,7,988.91,0
106,1,213.55,0
133,3,1390.5,0
43,2,712.5,0
4,2,640.83,0
11,23,5845.44,0
63,1,221.06,0
134,4,140.35,0
39,3,1848.98,0
50,2,2601.55,0
107,3,1624.21,0
0,12,3550.7000000000003,0
18,3,582.6,0
9,1,218.47,0
10,4,1006.8,0
18,4,648.6899999999999,0
66,2,1269.1,0
73,2,534.24,0
4,9,3794.4900000000002,0
1,1,196.89,0
13,7,3408.06,0
254,1,283.71,0
91,1,296.64,0
22,4,1104.23,0
16,10,3465.67,0
23,1,291.88,0
26,6,2043.7199999999998,0
25,6,2916.45,0
258,2,590.0,0
165,2,356.97999999999996,0
24,4,1007.35,0
17,7,1737.8200000000002,0
6,22,9537.92,3
28,2,183.44,0
38,3,1445.0,0
182,2,143.25,0
57,1,674.68,0
99,2,297.95,0
10,2,1083.71,0
1,41,5656.75,0
98,2,165.0,0
0,4,2531.58,0
60,3,417.54,0
235,1,229.59,0
190,4,1431.78,0
178,4,1092.77,0
37,8,1441.53,0
197,3,291.0,0
45,8,1776.81,0
231,1,184.64,0
65,1,140.34,0
240,1,313.8,0
232,1,454.24,0
77,3,1122.41,0
57,3,575.4,0
16,17,8910.61,3
104,4,449.52,0
51,10,1215.82,0
311,1,316.26000000000005,0
7,6,1990.1200000000001,0
10,3,617.93,0
282,3,321.05,0
17,7,1146.96,0
22,4,1136.77,0
16,3,292.0,0
70,1,216.85,0
63,1,295.93,0
311,3,452.82,0
2,4,2479.16,0
243,1,110.97,0
8,7,979.72,0
0,5,1785.16,0
260,1,251.21,0
126,1,205.1,0
73,1,152.20000000000002,0
72,4,891.12,0
20,3,1389.41,0
59,5,2109.07,0
85,1,659.4399999999999,0
49,2,110.80000000000001,0
0,3,1093.65,0
29,1,125.80000000000001,0
32,6,3755.38,0
40,5,680.1800000000001,0
14,2,628.78,0
33,8,2263.76,0
78,2,307.76,0
204,2,483.8,0
33,1,210.31,0
182,3,270.79,0
1,43,5613.08,0
0,7,3448.29,0
42,7,1280.85,0
85,4,605.84,0
39,2,291.41,0
11,3,626.99,0
95,2,682.41,0
25,8,916.12,0
318,1,91.80000000000001,0
65,16,3539.53,0
73,4,4149.28,0
27,2,584.06,0
5,4,605.06,0
6,1,174.37,0
215,1,141.85999999999999,0
81,3,1799.33,0
83,2,777.53,0
143,5,647.74,0
18,2,240.22,0
40,2,874.71,0
172,1,192.85,0
16,2,373.75,0
242,1,239.49,0
12,12,2092.32,0
205,1,1384.25,0
49,2,294.4,0
22,5,732.0699999999999,0
9,20,6703.3,0
24,5,1658.3,0
14,2,467.04,0
308,1,118.0,0
155,1,781.03,0
306,1,142.4,0
31,3,347.0,0
15,13,2445.12,0
14,2,379.65,0
10,7,1976.12,0
64,3,1117.13,0
35,4,247.95999999999998,0
107,6,1990.28,0
52,1,396.97,0
5,2,697.04,0
46,2,167.42000000000002,0
0,33,5030.6,0
311,1,219.52,0
44,2,693.32,0
64,1,428.89,0
25,1,164.34,0
28,3,280.53999999999996,0
39,1,678.01,0
11,9,1115.43,0
88,4,1158.2,0
23,4,1610.46,0
312,2,399.99,0
39,3,544.18,0
173,1,177.34,0
116,1,213.85,0
30,7,672.44,0
252,1,257.23,0
58,7,1624.02,0
22,11,7792.36,3
4,11,1995.68,0
99,12,3021.77,0
24,6,2117.02,0
32,5,1575.16,0
67,1,1071.03,0
36,6,941.62,0
51,3,810.5,0
15,1,122.64,0
73,1,1033.34,0
215,1,354.8,0
30,3,519.44,0
8,5,2597.52,0
119,1,252.1,0
9,5,1670.22,0
256,2,346.6,0
16,7,1809.34,0
34,2,94.2,0
45,3,1095.08,0
42,6,2707.33,0
113,2,932.97,0
164,2,379.65,0
10,2,382.14,0
9,7,2421.47,0
196,3,1550.85,0
85,7,879.08,0
178,1,189.47,0
59,3,84.65,0
148,1,305.02,0
2,29,6216.07,0
50,2,218.55,0
74,1,349.7,0
300,6,-71.46,0
18,2,396.92,0
150,2,486.82000000000005,0
151,1,232.6,0
0,5,2202.31,0
17,4,827.83,0
186,1,59.5,0
285,2,64.23,0
2,7,3119.44,0
182,1,72.0,0
62,1,910.0,0
58,1,172.25,0
24,5,1466.8700000000001,0
324,2,-32.0,0
3,60,62653.1,2
30,15,2504.13,0
38,1,151.29999999999998,0
154,1,308.58000000000004,0
25,10,2265.12,0
317,1,99.5,0
4,10,2295.31,0
7,3,711.86,0
302,1,330.79,0
266,2,806.41,0
270,1,296.88,0
3,17,6249.110000000001,0
31,1,180.48,0
218,2,252.06,0
246,1,228.84,0
280,8,1053.94,0
268,1,138.28,0
31,7,1432.26,0
245,2,306.55,0
14,5,1041.68,0
116,4,799.9,0
35,1,524.14,0
119,4,2369.16,0
216,1,199.85000000000002,0
49,11,1809.81,0
38,2,1079.6599999999999,0
28,2,333.48,0
36,6,1016.14,0
135,2,752.6,0
218,2,610.59,0
27,1,491.86,0
24,8,2766.18,0
4,3,724.0,0
199,1,339.59999999999997,0
17,1,216.9,0
240,1,350.75,0
71,4,666.33,0
16,14,3102.42,0
2,8,1340.1499999999999,0
94,2,1156.36,0
150,2,291.54,0
373,1,79.6,0
95,5,948.25,0
53,5,1647.26,0
287,1,296.25,0
123,6,1186.28,0
287,1,741.26,0
151,2,282.59999999999997,0
3,10,2154.68,0
1,15,5145.12,0
11,7,3190.55,0
32,2,659.4100000000001,0
53,2,286.79,0
49,2,1070.65,0
203,2,3.552713678800501e-15,0
62,3,1689.46,0
70,3,1521.76,0
1,52,16945.71,3
1,16,2771.87,0
63,5,2631.7,0
33,3,1132.13,0
81,1,345.0,0
0,41,25748.350000000002,3
102,1,178.7,0
6,2,360.01,0
250,1,127.84,0
12,6,912.0,0
9,11,2462.79,0
366,1,230.39999999999998,0
75,2,309.04,0
3,1,348.8,0
42,3,1047.68,0
65,2,195.55,0
0,63,36351.42,2
116,2,688.86,0
309,1,558.32,0
66,1,324.8,0
137,6,3906.27,0
254,1,277.07,0
30,7,2635.79,0
51,2,924.6,0
63,1,256.38,0
366,1,112.6,0
5,5,1747.66,0
301,3,1140.35,0
144,2,385.64,0
5,2,632.0,0
18,2,957.66,0
32,5,1698.94,0
157,2,174.65,0
57,3,412.05,0
21,1,209.49,0
358,1,-102.0,0
15,6,2202.99,0
17,2,40.949999999999996,0
158,1,384.8,0
24,4,834.57,0
211,2,271.24,0
5,4,691.73,0
252,1,85.0,0
58,9,3385.62,0
10,1,361.62,0
64,1,312.98,0
24,4,847.61,0
91,3,1255.0,0
51,2,1537.95,0
87,2,1586.81,0
95,3,2651.46,0
8,2,1056.94,0
8,29,8025.0199999999995,3
168,5,363.4,0
56,1,216.17,0
325,1,201.16,0
0,6,1240.0,0
17,10,2187.31,0
244,2,299.56,0
57,4,501.56,0
73,1,145.67000000000002,0
30,3,1015.29,0
6,2,3192.54,0
122,4,3104.95,0
1,10,2751.25,0
22,14,6389.8,0
119,4,381.7,0
357,1,540.45,0
53,5,1786.79,0
63,1,122.7,0
85,1,117.24,0
54,1,1281.53,0
20,13,3219.77,0
2,22,16989.52,3
2,6,1131.28,0
0,9,2538.75,0
6,6,781.3000000000001,0
188,2,506.8,0
70,1,243.56,0
203,1,349.55,0
119,2,605.63,0
92,1,416.90000000000003,0
0,14,1860.8600000000001,0
26,4,632.97,0
297,1,821.1,0
21,5,535.97,0
20,5,2588.12,0
49,1,311.16,0
325,1,155.93,0
15,2,388.52,0
182,3,740.95,0
71,5,2867.2,0
36,2,332.64,0
79,5,2347.05,0
56,9,2580.91,0
3,3,613.95,0
49,2,272.04,0
49,2,1212.8400000000001,0
351,1,172.25,0
53,1,351.13,0
1,11,1682.08,0
35,6,616.65,0
22,1,223.85000000000002,0
74,1,348.99,0
10,4,464.57,0
168,3,802.85,0
57,2,337.34,0
85,3,1230.93,0
294,1,307.4,0
108,2,608.7900000000001,0
263,1,922.1,0
170,2,361.28,0
168,1,158.85,0
34,1,71.66,0
22,4,556.75,0
16,4,839.14,0
21,7,4912.41,0
78,3,561.5699999999999,0
64,1,90.6,0
360,1,102.0,0
2,6,2427.32,0
10,5,728.56,0
175,3,674.45,0
210,3,3246.091,0
6,7,3515.68,0
0,3,378.59,0
153,2,322.96,0
4,5,1026.42,0
371,1,-102.45,0
78,3,598.2,0
20,2,230.22,0
21,2,169.55,0
307,4,664.54,0
145,1,80.7,0
6,20,8986.69,3
8,11,2702.2200000000003,0
70,2,190.25,0
286,1,264.7,0
48,1,413.59000000000003,0
30,7,2503.23,0
206,1,357.98,0
14,2,196.79000000000002,0
72,1,869.87,0
59,1,200.14,0
38,5,1861.11,0
29,13,2590.46,0
26,6,488.03,0
3,16,7024.53,0
16,1,320.46,0
19,9,4098.8,0
65,2,1266.08,0
212,1,311.3,0
11,7,850.63,0
29,1,76.8,0
31,12,3409.66,0
3,6,2313.14,0
14,6,1383.49,0
9,15,3865.26,0
205,2,633.71,0
45,4,2030.3300000000002,0
133,2,529.73,0
42,7,4582.64,0
9,5,2874.72,0
115,3,962.19,0
197,3,685.9300000000001,0
277,1,328.8,0
109,3,473.02,0
76,1,505.18,0
52,1,917.34,0
46,4,1398.96,0
16,2,642.8,0
154,3,631.9,0
224,1,440.0,0
6,2,584.07,0
121,2,327.7,0
60,1,104.82,0
62,2,467.66,0
17,8,2360.09,0
6,23,14634.640000000001,3
1,18,2929.84,0
21,4,512.02,0
28,5,1428.02,0
284,1,626.65,0
175,2,147.20000000000002,0
77,4,1554.48,0
32,1,152.2,0
40,15,3542.19,0
265,1,141.41,0
26,4,652.82,0
108,4,1659.75,0
283,1,154.99,0
8,7,1290.01,0
276,2,375.13,0
16,6,5639.15,0
31,2,746.36,0
0,26,15477.34,3
19,1,225.36,0
123,2,260.25,0
64,1,92.46,0
105,1,725.6400000000001,0
0,29,8124.4,3
23,18,6147.4,0
266,1,183.6,0
4,20,6135.38,0
9,12,10464.85,3
28,7,1188.32,0
266,1,152.55,0
63,2,374.7,0
319,1,265.85,0
3,9,1307.41,0
20,2,139.54,0
4,3,942.26,0
128,1,122.47,0
40,5,499.41999999999996,0
101,6,1049.37,0
124,1,375.1,0
32,1,45.599999999999994,0
266,4,904.67,0
364,1,182.25,0
3,9,1018.43,0
1,19,4435.79,0
2,2,181.67,0
9,14,50415.49,2
56,1,161.0,0
324,1,76.32000000000001,0
7,17,4063.1,0
11,1,442.85,0
3,34,57120.909999999996,2
36,1,147.35,0
15,12,3092.9700000000003,0
137,1,194.9,0
73,6,5976.79,0
4,8,1314.73,0
153,2,216.20999999999998,0
84,2,1260.33,0
51,8,2688.48,0
30,3,594.16,0
22,2,80.2,0
3,13,5669.65,0
13,5,688.6,0
22,12,2774.17,0
3,8,1377.92,0
273,2,386.53,0
19,5,1382.74,0
143,1,90.0,0
353,1,-19.9,0
3,6,2740.3,0
83,1,419.58000000000004,0
10,3,2740.43,0
7,4,643.6300000000001,0
122,3,709.71,0
60,2,637.5,0
1,5,1123.8600000000001,0
318,1,483.86,0
1,12,3580.13,0
129,5,590.3399999999999,0
1,15,4690.31,0
1,2,982.3800000000001,0
45,1,415.82,0
3,3,920.05,0
2,6,879.0300000000001,0
372,1,311.81,0
133,1,115.8,0
46,5,3148.2,0
8,6,2949.57,0
48,3,468.4,0
233,1,157.2,0
212,3,259.43,0
35,2,658.64,0
74,3,611.09,0
238,2,1345.62,0
265,1,118.75,0
19,3,400.43,0
39,1,507.66,0
19,14,4678.3,0
215,3,1110.52,0
173,2,289.36,0
86,4,2445.91,0
70,2,1631.77,0
275,1,122.53999999999999,0
38,4,574.84,0
97,1,363.79,0
10,4,450.84,0
32,1,134.46,0
50,7,3108.06,0
296,5,574.0,0
84,5,554.46,0
8,7,1620.93,0
40,2,719.78,0
10,31,4640.77,0
66,1,452.89,0
330,1,197.65,0
8,10,2018.91,0
1,24,4604.31,0
1,14,4660.01,0
67,2,853.39,0
4,32,11216.75,3
201,3,962.7,0
106,1,335.52,0
3,7,663.5,0
217,1,185.39999999999998,0
59,9,688.04,0
1,1,161.03,0
10,4,218.78,0
238,2,308.26,0
94,1,151.74,0
10,7,2067.13,0
90,7,1900.89,0
52,13,2208.3,0
89,1,1070.48,0
371,1,-1192.2,0
30,7,1000.23,0
11,7,1777.92,0
2,4,1839.3,0
1,24,1925.3600000000001,0
42,1,169.48000000000002,0
3,1,89.94,0
246,2,632.4,0
41,10,3427.85,0
176,1,683.17,0
91,4,975.23,0
109,4,1050.12,0
28,7,2201.64,0
25,15,3315.71,0
51,5,1450.6,0
178,5,822.0600000000001,0
31,8,2043.93,0
43,5,1447.51,0
21,4,775.46,0
9,6,3093.86,0
80,2,490.86,0
372,1,161.0,0
325,1,146.85,0
42,13,2323.5,0
29,2,890.34,0
183,1,213.70000000000002,0
234,2,280.55,0
8,14,2535.88,0
175,5,1677.48,0
110,3,1474.06,0
277,1,136.76999999999998,0
317,1,302.58,0
6,3,1904.05,0
1,5,2879.7000000000003,0
253,3,935.0600000000001,0
50,6,3087.27,0
8,10,12650.08,3
141,1,120.0,0
50,2,1163.45,0
7,8,2618.23,0
154,3,319.47,0
150,7,1279.09,0
331,1,492.65000000000003,0
225,1,112.32,0
73,2,437.96,0
50,4,559.97,0
87,5,1019.39,0
196,1,134.04,0
2,15,3729.34,0
30,3,578.45,0
20,4,1910.01,0
23,5,4595.81,0
7,4,151.23000000000002,0
211,2,413.85,0
8,6,911.26,0
10,6,2307.4500000000003,0
1,12,3873.3,0
7,14,4819.33,0
2,4,1046.56,0
39,2,154.70000000000002,0
17,6,1284.06,0
2,45,50862.44,2
7,18,2855.35,0
18,1,43.2,0
107,2,632.04,0
222,2,197.1,0
70,5,1803.76,0
50,3,2083.42,0
88,6,2995.72,0
7,10,2319.68,0
224,2,229.71,0
46,6,1611.59,0
106,1,120.0,0
20,7,2456.98,0
64,1,508.58000000000004,0
206,3,343.11,0
10,5,1530.75,0
114,4,574.26,0
234,2,166.85,0
162,1,311.65,0
8,14,4928.74,0
123,2,462.65999999999997,0
22,3,866.31,0
63,2,351.45,0
16,9,2539.46,0
16,4,1614.91,0
157,4,554.22,0
234,4,289.90999999999997,0
218,1,134.7,0
44,9,2166.38,0
20,6,607.71,0
126,8,889.9300000000001,0
38,1,108.97999999999999,0
120,2,1021.58,0
259,1,409.57,0
9,1,133.5,0
270,2,258.7,0
164,1,51.0,0
156,4,1078.96,0
214,1,90.6,0
5,2,163.62,0
365,1,174.4,0
59,4,666.9399999999999,0
42,1,225.77,0
18,6,882.58,0
31,4,2128.23,0
21,1,161.2,0
108,8,3717.35,0
7,19,9167.82,3
319,1,155.0,0
294,1,100.5,0
357,1,76.55,0
184,1,257.68,0
190,2,617.05,0
43,2,348.1,0
51,1,202.68,0
25,1,626.0699999999999,0
37,3,1247.69,0
8,3,202.11,0
296,1,142.4,0
32,3,1770.56,0
8,10,3172.04,0
8,5,999.72,0
9,13,4592.47,0
217,1,67.95,0
1,12,3471.91,0
64,2,487.99,0
0,23,2556.68,0
140,2,559.7,0
3,14,4039.98,0
129,5,1426.31,0
33,7,1434.72,0
118,1,156.75,0
106,9,2111.08,0
10,7,2606.53,0
70,7,1908.25,0
15,15,576.3,0
310,1,1063.0,0
34,3,761.3299999999999,0
361,1,122.7,0
91,8,1485.1299999999999,0
0,18,5811.56,0
21,2,490.22,0
3,3,1937.25,0
10,6,1058.06,0
84,2,385.87,0
56,2,813.11,0
0,6,4263.64,0
217,1,265.2,0
17,1,322.08,0
18,16,3918.9,0
49,2,363.34000000000003,0
6,7,1230.14,0
298,2,397.76,0
9,6,2255.51,0
21,6,1372.8,0
98,1,89.06,0
142,2,-43.400000000000006,0
305,1,131.9,0
7,5,2357.6800000000003,0
0,10,1545.14,0
53,7,1400.88,0
0,4,1039.58,0
18,5,1163.23,0
8,2,375.35,0
18,4,907.1,0
180,3,483.25,0
59,2,662.59,0
10,2,264.44,0
189,1,119.93,0
4,14,3047.63,0
310,1,113.64,0
154,1,1837.92,0
109,4,383.34,0
147,3,2103.06,0
63,15,1965.9,0
97,3,529.62,0
246,3,1058.6200000000001,0
28,7,2272.4,0
17,4,598.76,0
11,2,461.19,0
103,8,1936.84,0
73,2,234.34000000000003,0
42,2,537.71,0
71,6,799.82,0
256,1,215.7,0
19,5,1307.81,0
253,2,316.25,0
10,1,279.05,0
164,2,636.51,0
17,6,2068.15,0
149,2,129.2,0
49,1,321.92,0
38,1,165.75,0
26,7,1183.58,0
50,2,1047.43,0
206,1,463.38,0
174,2,340.93,0
6,7,2362.84,0
25,1,139.56,0
50,2,123.8,0
311,2,538.8100000000001,0
300,2,457.47,0
42,5,1957.32,0
25,3,815.32,0
87,3,356.85,0
63,3,190.31,0
19,14,2351.02,0
2,6,3543.26,0
46,4,673.26,0
16,11,5818.7,0
16,5,2012.17,0
23,7,1368.18,0
21,2,276.42,0
10,6,1267.4099999999999,0
187,2,275.28,0
100,4,438.49,0
60,3,1055.35,0
17,6,2102.09,0
32,2,330.45,0
63,1,174.37,0
1,2,270.6,0
23,4,974.54,0
107,1,241.09,0
31,9,1867.68,0
8,13,4221.37,0
2,86,7711.38,3
36,1,364.21999999999997,0
59,3,620.04,0
25,6,2925.91,0
235,4,932.85,0
24,9,1812.6200000000001,0
2,25,4075.35,0
58,4,2841.09,0
259,1,171.8,0
57,1,355.56,0
64,2,388.25,0
15,2,537.48,0
9,3,996.26,0
58,8,1461.65,0
185,1,103.25,0
3,21,2916.17,0
23,2,2024.45,0
3,9,2487.02,0
3,9,3986.7400000000002,0
150,2,652.8,0
310,1,289.24,0
10,2,765.62,0
17,2,186.23,0
151,1,165.07,0
18,5,859.27,0
9,4,2381.04,0
56,2,324.14,0
63,2,0.0,0
6,24,2174.18,0
75,3,1080.76,0
3,22,4709.22,0
95,6,3073.77,0
34,3,1524.46,0
0,1,227.39,0
280,2,218.06,0
2,10,2803.69,0
179,13,1603.72,0
371,1,35.400000000000006,0
12,4,859.71,0
2,1,168.63,0
16,1,138.6,0
40,1,114.11,0
5,5,1052.55,0
168,5,1029.26,0
49,1,157.05,0
226,3,134.16,0
18,10,1598.24,0
371,1,39.75,0
14,4,1447.14,0
34,3,570.46,0
21,3,617.99,0
6,2,379.83,0
19,6,1740.6,0
10,2,883.15,0
43,1,221.97,0
305,1,393.33000000000004,0
10,1,213.96,0
274,1,660.0,0
0,128,11713.85,3
15,17,11341.1,3
3,4,1785.15,0
71,4,601.56,0
242,3,406.08000000000004,0
8,4,538.59,0
238,2,379.51,0
203,3,393.28000000000003,0
0,6,1765.76,0
